product,md_one,md_two,md_three,md_four,md_five,new_srp
0203321-5,0,0,0,0,,1299
0203-50,0,0,0,0,,0
0204064-5,500,0,0,0,,0
0204067-5,0,0,0,0,,0
0204071-5,0,0,0,0,,0
0204077-5,0,0,0,0,,0
0204078-5,0,0,0,0,,0
0204079-5,0,0,0,0,,0
0204082-5,0,0,0,0,,0
0204085-5,0,0,0,0,,1499
0204086-5,1000,900,0,0,,0
0204087-5,1000,900,0,0,,0
0204088-5,0,0,0,0,,1499
0204089-5,0,0,0,0,,1499
0204090-5,900,0,0,0,,0
0204091-5,0,0,0,0,,1499
0204-50,0,0,0,0,,0
0204-50-10,0,0,0,0,,0
0204-50-20,0,0,0,0,,0
0204-50-30,0,0,0,0,,0
0204-50-40,0,0,0,0,,0
0204-50-5,0,0,0,0,,0
0204-50-50,0,0,0,0,,0
0205-1,0,0,0,0,,0
020573-8,1200,0,0,0,,0
020575-8,1200,0,0,0,,0
020587-8,1200,0,0,0,,0
0206-1,0,0,0,0,,0
0206-1AG,0,0,0,0,,0
0206-1Y,0,0,0,0,,0
0207-1,0,0,0,0,,0
0207-5,0,0,0,0,,0
0208-10,0,0,0,0,,0
0208-12,0,0,0,0,,0
0208-3,0,0,0,0,,0
0208-3P,0,0,0,0,,0
0208-5,0,0,0,0,,0
0208-8,0,0,0,0,,0
0209-2,0,0,0,0,,0
0209-2MS,0,0,0,0,,0
0209-2P,0,0,0,0,,0
0210-1,0,0,0,0,,0
021106-6,1150,0,0,0,,0
021108-6,1150,0,0,0,,0
0211-1,0,0,0,0,,0
0212-1,0,0,0,0,,0
0213-1,0,0,0,0,,0
0214-1,0,0,0,0,,0
0215-10,0,0,0,0,,0
0216-1,0,0,0,0,,0
0217-1,0,0,0,0,,0
0218-2,0,0,0,0,,0
022095-6,1150,0,0,0,,0
022098-6,1150,750,0,0,,0
022099-6,1150,750,0,0,,0
022100-6,1150,750,0,0,,0
022102-6,1150,0,0,0,,0
022104-6,1150,750,0,0,,0
023109-6,1150,900,0,0,,0
025112-4,1050,1000,0,0,,0
025114-4,1050,1000,0,0,,0
025115-4,1000,1000,0,0,,1039.75
0291221-3,0,0,0,0,,0
0291535-4,0,0,0,0,,1299
0291544-3,0,0,0,0,,0
0291776-4,0,0,0,0,,1299
0291891-4,0,0,0,0,,1299
0292083-5,0,0,0,0,,1299
029377-3,0,0,0,0,,0
029380-3,0,0,0,0,,0
029382-3,0,0,0,0,,0
029383-3,0,0,0,0,,0
029384-3,0,0,0,0,,0
029385-4,0,0,0,0,,1299
029426-7,0,0,0,0,,0
029430-7,0,0,0,0,,0
029661-3,0,0,0,0,,0
029664-3,0,0,0,0,,0
0301-1,0,0,0,0,,0
0302-1,0,0,0,0,,0
030249-6,0,0,0,0,,1299
030250-6,0,0,0,0,,1299
030253-6,0,0,0,0,,1299
030256-6,0,0,0,0,,1299
030258-6,0,0,0,0,,1299
030260-6,0,0,0,0,,1299
0303-1,0,0,0,0,,0
0304-1,0,0,0,0,,0
0305-1,0,0,0,0,,0
0306-1,0,0,0,0,,0
0307-1,0,0,0,0,,0
0308-1,0,0,0,0,,0
0308-1BL,0,0,0,0,,0
0309-1,0,0,0,0,,0
0310-1,0,0,0,0,,0
0311-1,0,0,0,0,,0
0312-1,0,0,0,0,,0
0313-1,0,0,0,0,,0
031330-6,0,0,0,0,,0
031330-6MA,0,0,0,0,,0
031332-4,0,0,0,0,,0
031333-4,0,0,0,0,,0
0314-1,0,0,0,0,,0
0314-1NB,0,0,0,0,,0
0315-1,0,0,0,0,,0
0316-1,0,0,0,0,,0
0317-1,0,0,0,0,,0
0318-1,0,0,0,0,,0
0319-1,0,0,0,0,,0
0320-1,0,0,0,0,,0
0321-1,0,0,0,0,,0
0322-1,0,0,0,0,,0
032339-4,0,0,0,0,,1799.75
032340-4,900,0,0,0,,0
032343-5,1800,0,0,0,,0
032344-5,0,0,0,0,,0
032348-4,1150,0,0,0,,0
032349-11,0,0,0,0,,0
032350-4,1000,0,0,0,,0
032353-5,0,0,0,0,,0
033364-4,0,0,0,0,,0
033365-4,0,0,0,0,,0
033366-4,0,0,0,0,,0
033371-4,0,0,0,0,,0
033372-4,0,0,0,0,,0
033374-4,0,0,0,0,,0
033376-4,0,0,0,0,,0
033444-2,0,0,0,0,,0
033447-2,0,0,0,0,,0
033448-2,0,0,0,0,,0
033450-2,0,0,0,0,,0
033452-2,0,0,0,0,,0
033454-2,0,0,0,0,,0
033456-2,0,0,0,0,,0
0341203-2,0,0,0,0,,0
0341232-2,0,0,0,0,,0
0341485-2,0,0,0,0,,0
0341488-2,0,0,0,0,,0
034470-2,200,0,0,0,,0
034924-2,0,0,0,0,,0
0351276-11,3500,0,0,0,,0
0351277-11,3500,0,0,0,,0
0351285-6,1900,0,0,0,,0
0351292-4,1200,0,0,0,,0
0351294-3,1000,0,0,0,,0
0351295-3,1000,0,0,0,,0
0351296-4,1200,0,0,0,,0
035493-5,1900,0,0,0,,0
035494-5,1900,0,0,0,,0
035495-11,3500,0,0,0,,0
035716-5,1900,0,0,0,,0
035718-5,1900,0,0,0,,0
035719-6MA,1000,0,0,0,,0
035721-6,2000,0,0,0,,0
035722-6,1900,0,0,0,,0
035723-11,4000,0,0,0,,0
035724-11,3500,0,0,0,,0
0361288-8,0,0,0,0,,0
036504-4,0,0,0,0,,1499
036507-6,0,0,0,0,,0
036508-6,0,0,0,0,,0
036700-16,0,0,0,0,,0
0371144-11,0,0,0,0,,0
0371146-11,0,0,0,0,,0
0371148-4,0,0,0,0,,0
0371149-4,0,0,0,0,,0
