product,md_one,md_two,md_three,md_four,md_five,new_srp
1324060-10,0,0,0,0,,0
1324061-3,0,0,0,0,,899
1324062-23,0,0,0,0,,0
1324063-23,0,0,0,0,,0
1324064-23,0,0,0,0,,0
1324065-23,0,0,0,0,,0
1324066-1,0,0,0,0,,0
1324067-4,0,0,0,0,,0
1324068-4,0,0,0,0,,0
1324071,0,0,0,0,,0
1324072,0,0,0,0,,0
1324075-12,0,0,0,0,,0
1324076-12,0,0,0,0,,0
1324077-12,0,0,0,0,,0
1324078-12,0,0,0,0,,0
1324079-12,0,0,0,0,,0
1324080-12,0,0,0,0,,0
1324081-12,0,0,0,0,,0
1324082-12,0,0,0,0,,0
1324083-12,0,0,0,0,,0
1324084-12,0,0,0,0,,0
1324085-12,0,0,0,0,,0
1324086-12,0,0,0,0,,0
1324087-12,0,0,0,0,,0
1324088-12,0,0,0,0,,0
1324089-12,0,0,0,0,,0
1324090-12,0,0,0,0,,0
1324091-12,0,0,0,0,,0
1324093-12,0,0,0,0,,0
1324094-12,0,0,0,0,,0
1324095-10,0,0,0,0,,0
1324096-10,0,0,0,0,,0
1324097-10,0,0,0,0,,0
1324098-10,0,0,0,0,,0
1324099-10,0,0,0,0,,0
1324100-10,0,0,0,0,,0
1324101-8,0,0,0,0,,0
1324102-8,0,0,0,0,,0
1324103-8,0,0,0,0,,0
1324104-8,0,0,0,0,,0
1324105-24,0,0,0,0,,0
1324106-24,0,0,0,0,,0
1324107-24,0,0,0,0,,0
1324108-24,0,0,0,0,,0
1324109-24,0,0,0,0,,0
1324110-24,0,0,0,0,,0
1324111-24,0,0,0,0,,0
1324112-24,0,0,0,0,,0
1324113-24,0,0,0,0,,0
1324114-24,0,0,0,0,,0
1324115-24,0,0,0,0,,0
1324116-24,0,0,0,0,,0
1324117-24,0,0,0,0,,0
1324118-24,0,0,0,0,,0
1324119-24,0,0,0,0,,0
1324120-24,0,0,0,0,,0
1324121-20,0,0,0,0,,0
1324122-20,0,0,0,0,,0
1324123-20,0,0,0,0,,0
1324124-20,0,0,0,0,,0
1324125-20,0,0,0,0,,0
1324126-20,0,0,0,0,,0
1324127-20,0,0,0,0,,0
1324128-20,0,0,0,0,,0
1324129-20,0,0,0,0,,0
1324130-20,0,0,0,0,,0
1324131-20,0,0,0,0,,0
1324132-20,0,0,0,0,,0
1324133-20,0,0,0,0,,0
1324134-15,0,0,0,0,,0
1324135-15,0,0,0,0,,0
1324136-15,0,0,0,0,,0
1324137-15,0,0,0,0,,0
1324138-15,0,0,0,0,,0
1324139-15,0,0,0,0,,0
1324140-15,0,0,0,0,,0
1324141-15,0,0,0,0,,0
1324142-15,0,0,0,0,,0
1324143-15,0,0,0,0,,0
1324144-15,0,0,0,0,,0
1324145-15,0,0,0,0,,0
1324146-15,0,0,0,0,,0
1324147-15,0,0,0,0,,0
1324148-15,0,0,0,0,,0
1324149-15,0,0,0,0,,0
1324150-15,0,0,0,0,,0
1324151-15,0,0,0,0,,0
1324152-15,0,0,0,0,,0
1324153-15,0,0,0,0,,0
1324154-15,0,0,0,0,,0
1324155-15,0,0,0,0,,0
1324156-15,0,0,0,0,,0
1324157-15,0,0,0,0,,0
1324158-15,0,0,0,0,,0
1324159-15,0,0,0,0,,0
1324160-15,0,0,0,0,,0
1324161-15,0,0,0,0,,0
1324162-15,0,0,0,0,,0
1324198-4,0,0,0,0,,0
1324199-4,0,0,0,0,,0
1324200-4,0,0,0,0,,0
1324201-4,0,0,0,0,,0
1324202-4,0,0,0,0,,0
1324203-4,0,0,0,0,,0
1324204-4,0,0,0,0,,0
1324205-4,0,0,0,0,,0
1324206-4,0,0,0,0,,0
1324207-4,0,0,0,0,,0
1324208-4,0,0,0,0,,0
1324209-4,0,0,0,0,,0
1324210-4,0,0,0,0,,0
1324211-4,0,0,0,0,,0
1324212-4,0,0,0,0,,0
1324213-4,0,0,0,0,,0
1324214-4,0,0,0,0,,0
1324215-4,0,0,0,0,,0
1324216-4,0,0,0,0,,0
1324217-4,0,0,0,0,,0
1324218-4,0,0,0,0,,0
1324219-4,0,0,0,0,,0
1324220-4,0,0,0,0,,0
1324221-4,0,0,0,0,,0
1324222-4,0,0,0,0,,0
1324223-4,0,0,0,0,,0
1324224-4,0,0,0,0,,0
1324225-4,0,0,0,0,,0
1324226-4,0,0,0,0,,0
1324227-4,0,0,0,0,,0
1324228-4,0,0,0,0,,0
1324229-4,0,0,0,0,,0
1324230-4,0,0,0,0,,0
1324231-4,0,0,0,0,,0
1324232-4,0,0,0,0,,0
1324233-4,0,0,0,0,,0
1324234-4,0,0,0,0,,0
1324235-4,0,0,0,0,,0
1324236-4,0,0,0,0,,0
1324237-4,0,0,0,0,,0
1324238-4,0,0,0,0,,0
1324239-4,0,0,0,0,,0
1324240-4,0,0,0,0,,0
1324241-4,0,0,0,0,,0
1324242-4,0,0,0,0,,0
1324243-4,0,0,0,0,,0
1324244-12,0,0,0,0,,0
1324245-12,0,0,0,0,,0
1324246-12,0,0,0,0,,0
1324247-12,0,0,0,0,,0
1324248-12,0,0,0,0,,0
1324250-7,0,0,0,0,,0
1324251-13,0,0,0,0,,0
1324252-7,0,0,0,0,,0
1324253-13,0,0,0,0,,0
1324254-17,0,0,0,0,,0
1324256-8,0,0,0,0,,0
1324257-8,0,0,0,0,,0
1324258-8,0,0,0,0,,0
1324259-8,0,0,0,0,,0
1324260-8,0,0,0,0,,0
1324261-8,0,0,0,0,,0
1324262-8,0,0,0,0,,0
1324263-8,0,0,0,0,,0
1324264-8,0,0,0,0,,0
1324265-8,0,0,0,0,,0
1324266-8,0,0,0,0,,0
1324267-8,0,0,0,0,,0
1324268-8,0,0,0,0,,0
1324269-8,0,0,0,0,,0
1324270-8,0,0,0,0,,0
1324271-8,0,0,0,0,,0
1324272-8,0,0,0,0,,0
1324273-8,0,0,0,0,,0
1324274-8,0,0,0,0,,0
1324275-8,0,0,0,0,,0
1324276-8,0,0,0,0,,0
1324277-8,0,0,0,0,,0
1324278-8,0,0,0,0,,0
1324279-8,0,0,0,0,,0
1324280-8,0,0,0,0,,0
1324281-8,0,0,0,0,,0
1324282-8,0,0,0,0,,0
1324283-8,0,0,0,0,,0
1324284-8,0,0,0,0,,0
1324285-8,0,0,0,0,,0
124171-14,0,0,0,0,,0
124172-10,0,0,0,0,,0
124173-11,0,0,0,0,,0
124174-14,0,0,0,0,,0
1324292-7,0,0,0,0,,0
1324293-7,0,0,0,0,,0
1324294-7,0,0,0,0,,0
1324295-7,0,0,0,0,,0
1324296-7,0,0,0,0,,0
1324297-7,0,0,0,0,,0
1324298-7,0,0,0,0,,0
1324299-7,0,0,0,0,,0
1324300-7,0,0,0,0,,0
1324301-7,0,0,0,0,,0
1324302-7,0,0,0,0,,0
1324303-7,0,0,0,0,,0
1324304-7,0,0,0,0,,0
1324305-8,0,0,0,0,,0
1324306-8,0,0,0,0,,0
1324307-8,0,0,0,0,,0
1324308-8,0,0,0,0,,0
1324309-8,0,0,0,0,,0
1324310-8,0,0,0,0,,0
1324311-8,0,0,0,0,,0
1324312-8,0,0,0,0,,0
1324313-8,0,0,0,0,,0
1324314-8,0,0,0,0,,0
1324315-8,0,0,0,0,,0
1324316-8,0,0,0,0,,0
1324317-8,0,0,0,0,,0
1324165-10,0,0,0,0,,0
1324166-10,0,0,0,0,,0
1324167-8,0,0,0,0,,0
1324168-8,0,0,0,0,,0
1324169-8,0,0,0,0,,0
1324170-8,0,0,0,0,,0
1324171-4,0,0,0,0,,0
1324172-15,0,0,0,0,,0
1324173-15,0,0,0,0,,0
1324174-15,0,0,0,0,,0
1324175-15,0,0,0,0,,0
1324176-8,17999,0,0,0,,0
1324177-8,17999,0,0,0,,0
1324178-8,17999,0,0,0,,0
1324179-8,17999,0,0,0,,0
1324180-8,17999,0,0,0,,0
1324181-8,17999,0,0,0,,0
1324182-8,17999,0,0,0,,0
1324183-8,17999,0,0,0,,0
1324184-8,17999,0,0,0,,0
1324185-12,0,0,0,0,,0
1324186-12,0,0,0,0,,0
1324187-12,0,0,0,0,,0
1324188-12,0,0,0,0,,0
1324189-8,0,0,0,0,,0
1324190-10,0,0,0,0,,0
1324191-8,0,0,0,0,,0
1324192-8,0,0,0,0,,0
1324193-10,0,0,0,0,,0
1324194-8,0,0,0,0,,0
1324069-4,0,0,0,0,,0
1324070-4,0,0,0,0,,0
1324253-6,1500,0,0,0,,0
1324264-6,1500,0,0,0,,0
1324266-5,1300,0,0,0,,1299
1324365-4,1300,0,0,0,,1299
1324366-4,1300,0,0,0,,1299
1324369-6,1500,0,0,0,,0
1324370-6,1500,0,0,0,,0
1324384-5,1500,0,0,0,,0
1324397-5,1500,0,0,0,,0
1324584-5,1500,0,0,0,,0
1324585-5,1500,0,0,0,,0
1324588-5,1200,0,0,0,,0
1324590-5,1200,0,0,0,,0
1324592-5,1200,0,0,0,,0
1324593-5,1200,0,0,0,,0
1324595-5,1200,0,0,0,,0
1324601-6A,2000,1800,0,0,,3299.75
1324603-6,1500,0,0,0,,0
1324753-6,1900,1500,0,0,,0
1324758-6,1900,1500,0,0,,0
1324759-6,1900,1500,0,0,,0
1324763-6,1900,1500,0,0,,0
1324774-5,1900,1500,0,0,,0
1324775-5,1900,1500,0,0,,0
1324776-5,1900,1500,0,0,,0
1324780-5,1900,1500,0,0,,0
1324781-5,1900,1500,0,0,,0
1324783-5,1900,1500,0,0,,0
1324784-5,1900,1500,0,0,,0
1324785-5,1900,1500,0,0,,0
1324787-5,1900,1500,1500,0,,0
1324789-5,1900,1500,0,0,,0
1324790-5,1900,1500,0,0,,0
1324791-5,1900,1500,0,0,,0
1324792-3,1000,0,0,0,,0
1324795-3,1000,0,0,0,,0
1324802-5,1900,1500,0,0,,0
1324803-5,1900,1500,1500,0,,0
1324811-5,1900,1500,0,0,,0
1324813-8,3000,2700,0,0,,0
1324975-5,0,0,0,0,,0
1324975-5A,2000,0,0,0,,3299.75
1325252-5,0,0,0,0,,0
1325259-5,1800,800,0,0,,0
1325259-5E,0,0,0,0,,3299.75
1325259-5F,1800,0,0,0,,3299.75
1325260-5,800,0,0,0,,0
1325260-5A,2299.75,0,0,0,,3299.75
1325260-5C,0,0,0,0,,3299.75
1325260-5E,0,0,0,0,,3299.75
1325263-5,800,0,0,0,,0
1325267-5,0,0,0,0,,0
1325268-5,0,0,0,0,,0
1325272-6,1500,0,0,0,,0
1325279-6,1500,0,0,0,,0
1325282-6,1500,0,0,0,,0
1325283-6,1500,0,0,0,,0
1325284-6,1500,0,0,0,,0
1325285-6,1500,0,0,0,,0
1325286-5,0,0,0,0,,0
1325288-5,0,0,0,0,,1999.75
1325289-5,0,0,0,0,,1999.75
1325294-2,0,0,0,0,,0
1325296-2,0,0,0,0,,0
1325297-2,0,0,0,0,,0
1325305-2,0,0,0,0,,0
1325309-2,0,0,0,0,,0
1325312-3,0,0,0,0,,1299
1325727-5,1500,0,0,0,,2299.75
1326048-8,0,0,0,0,,3999.75
1326104-6,0,0,0,0,,0
1326106-12,0,0,0,0,,0
1326602-8,6500,0,0,0,,0
1326603-8,6500,0,0,0,,0
1326604-8,6500,0,0,0,,0
1326604-8N,6500,0,0,0,,0
1326610-8,6500,0,0,0,,0
1331113-2,0,0,0,0,,0
1332883-2,4500,4000,3000,3000,,0
1332885-2,3000,0,0,0,,0
1332889-9,13500,10000,0,0,,0
1333285-5,0,0,0,0,,0
1336316-13,0,0,0,0,,30000
1336320-13,0,0,0,0,,30000
1336321-13,0,0,0,0,,30000
1336322-13,0,0,0,0,,30000
1336324-15,0,0,0,0,,48899
1336324-18,0,0,0,0,,48899
1336325-15,0,0,0,0,,48899
1336325-18,0,0,0,0,,48899
1336328-11,0,0,0,0,,30000
1336331-11,0,0,0,0,,30000
1336941-13,0,0,0,0,,0
1336942-20,0,0,0,0,,0
1336943-20,0,0,0,0,,0
1336944-20,0,0,0,0,,0
1336946-4,0,0,0,0,,8995
1336947-4,0,0,0,0,,8995
1336948-4,0,0,0,0,,8995
1336949-4,0,0,0,0,,8995
1341118-2,3500,0,0,0,,0
1341158-2,2750,0,0,0,,0
1341584-1,130,0,0,0,,0
1351996-2,2000,1699.75,995,0,,0
1352031-2,1750,1799.75,0,0,,1799.75
135324-3,4200,0,0,0,,0
1365712-9,8000,6000,0,0,,0
1365713-9,8000,0,0,0,,0
1365715-9,8000,0,0,0,,0
1365716-5,4500,0,0,0,,0
1365717-5,4500,0,0,0,,0
1365745-6,0,0,0,0,,2999.75
1365746-6,2500,1500,0,0,,2999.75
1365747-6,2500,1500,0,0,,2999.75
1365748-6,0,0,0,0,,2999.75
1365749-6,0,0,0,0,,2999.75
1365750-6,0,0,0,0,,2999.75
1365751-6,2500,1500,0,0,,2999.75
1365752-6,0,0,0,0,,2999.75
1365752-6A,2500,1500,0,0,,2999.75
1365772-8,3500,2000,0,0,,0
1365772-8A,2800,2000,0,0,,0
1365773-8,2000,2399.875,0,0,,0
1371457-4,0,0,0,0,,0
1371575-4,900,900,995,0,,0
1371912-3,1600,900,800,0,,0
1371913-3,1600,900,800,800,,0
1372208-3,1400,0,0,0,,0
1372212-3,1400,0,0,0,,0
1372213-4,1850,1500,0,0,,0
1374178-4,3400,0,0,0,,0
1374275-11,0,0,0,0,,0
1374277-16,0,0,0,0,,0
1374278-13W,0,0,0,0,,0
1374279-16,0,0,0,0,,0
1374280-16,0,0,0,0,,0
1374282-16,0,0,0,0,,0
1374327-18,0,0,0,0,,0
1374328-18,0,0,0,0,,0
1374329-18,0,0,0,0,,0
1374330-18,0,0,0,0,,0
1374331-18,0,0,0,0,,0
1374332-18,0,0,0,0,,0
1375155-4,0,0,0,0,,0
1375767-9,5000,3500,0,0,,6295
1375770-9A,5000,3500,0,0,,0
137609-1,250,0,0,0,,0
1376298-6,0,0,0,0,,0
1376299-6,0,0,0,0,,0
1376301-5,0,0,0,0,,0
1376381-13,1800,0,0,0,,0
1376381-7,0,0,0,0,,0
1376381-7R,0,0,0,0,,0
1376382-13,1800,0,0,0,,0
1376382-13R,0,0,0,0,,0
1376382-7,0,0,0,0,,0
1376383-13,2300,1800,0,0,,0
1376383-7,0,0,0,0,,0
1376384-13,1800,0,0,0,,3399.75
1376384-13N,0,0,0,0,,0
1376384-7N,0,0,0,0,,0
1383981-5,700,0,0,0,,0
138423-4,2750,0,0,0,,2999.75
1385811-13,10500,0,0,0,,13950
139345-2,2100,0,0,0,,0
1401070-3,1250,1200,0,0,,0
1401073-2,0,0,0,0,,1299
1401448-3,1500,0,0,0,,0
1401452-3,0,0,0,0,,1299
1401889-4,0,0,0,0,,1799.75
1401892-4,0,0,0,0,,1799.75
1401896-2,800,500,0,0,,0
1401897-2,800,500,0,0,,0
1402156-1,800,500,250,0,,0
1402159-2,450,0,0,0,,899.75
1402160-2,450,0,0,0,,899.75
1402162-2,650,450,0,0,,899.75
1402163-2,450,0,0,0,,899.75
1402283-4,1600,0,0,0,,0
1402285-4,1600,0,0,0,,0
1402286-4,1600,0,0,0,,0
1402288-4,1600,0,0,0,,0
1402289-3,1050,0,0,0,,0
1402290-3,1050,0,0,0,,0
1402291-3,0,0,0,0,,1299
1403202-3,0,0,0,0,,1299
1403488-9,0,0,0,0,,0
1403496-3,0,0,0,0,,0
1403497-3,0,0,0,0,,0
1403498-3,0,0,0,0,,0
1403499-3,800,0,0,0,,0
1403500-3,0,0,0,0,,1299
1403501-5,0,0,0,0,,1499
1403502-5,0,0,0,0,,1499
1403799-4,0,0,0,0,,1799.75
1404880-8,0,0,0,0,,0
140513-2,0,0,0,0,,1299
1405705-6,0,0,0,0,,0
1491375-3,2650,2300,1900,1200,,3299.75
1501001-6,0,0,0,0,,0
1501111-4,3500,0,0,0,,0
1501354-2,500,0,0,0,,0
1501643-2,650,500,0,0,,0
1501644-2,650,500,0,0,,0
1502129-4,5000,0,0,0,,8995
1502912-16,0,0,0,0,,10999.75
1502913-23M,10000,8000,6000,0,,17999.75
1502921-30,12000,0,0,0,,0
1502969-9,6000,8000,7999.75,0,,9995
1502971-9,6000,8000,7999.75,0,,9995
1502972-9,6000,8000,7999.75,0,,9995
1502973-13,28000,27999.75,0,0,,0
1502974-13,28000,27999.75,0,0,,0
1503718-12,0,0,0,0,,7999.75
1503718-12M,0,0,0,0,,7999.75
1503827-5,2000,0,0,0,,0
1503827-5M,0,0,0,0,,0
1503829-5,2400,0,0,0,,0
1503831-16MH,0,0,0,0,,10999.75
1504007-8M,0,0,0,0,,5999.75
1504008-8M,0,0,0,0,,0
1504082-8M,0,0,0,0,,5999.75
1504086-8,0,0,0,0,,5999.75
1504092-5,0,0,0,0,,0
1504096-8,0,0,0,0,,0
1504146-8M,0,0,0,0,,5999.75
1504147-8M,0,0,0,0,,5999.75
1504345-16MH,0,0,0,0,,10999.75
1504346-23M,0,0,0,0,,17999.75
1504347-12M,0,0,0,0,,7999.75
1504356-9M,3500,0,0,0,,0
1504361-8M,4000,0,0,0,,0
1504531-28M,0,0,0,0,,22999.75
1504533-5M,0,0,0,0,,1999.75
1504534-28M,14000,0,0,0,,22999.75
1504536-8M,0,0,0,0,,0
1504696-5M,0,0,0,0,,0
1504697-8M,0,0,0,0,,5999.75
1504702-8M,4000,3000,2500,0,,5999.75
1505419-23M,14500,12999.75,9000,0,,17999.75
1505420-28M,18000,16950,14000,0,,22999.75
1505422-9M,0,0,0,0,,5999.75
1505426-5M,0,0,0,0,,0
1506286-5M,0,0,0,0,,0
1506289-8M,0,0,0,0,,0
1506291-8M,0,0,0,0,,0
1506535-8M,0,0,0,0,,5999.75
1506676-8M,0,0,0,0,,0
1506765-12M,0,0,0,0,,7999.75
1506952-5M,2400,2000,0,0,,0
1516263-7,0,0,0,0,,0
1516264-8,0,0,0,0,,0
1516586-8,0,0,0,0,,0
1516657-5,0,0,0,0,,0
1526769-5WH,0,0,0,0,,0
153724-1,700,0,0,0,,749.75
154728-4,3700,0,0,0,,3997.5
155754-1,2400,0,0,0,,2999.75
157821-2,1500,0,0,0,,0
1581422-2,180,0,0,0,,0
1581539-5,0,0,0,0,,0
1581550-3,900,0,0,0,,0
1581561-3,1400,0,0,0,,0
1581562-3,0,0,0,0,,0
1581599-1,250,0,0,0,,0
1581606-1,180,0,0,0,,0
1581909-4,650,0,0,0,,0
1582170-3,350,0,0,0,,0
1582174-2,350,0,0,0,,0
1582178-2,0,0,0,0,,0
1582182-3,0,0,0,0,,0
1582268-3,0,0,0,0,,0
1582270-3,0,0,0,0,,0
1582404-2,350,0,0,0,,0
1582405-2,350,0,0,0,,0
1582438-3,0,0,0,0,,699.75
1582457-5,1050,0,0,0,,0
1582458-5,1150,900,0,0,,0
1582459-5,1050,650,0,0,,0
1582460-5,0,0,0,0,,1299
1582462-5,1150,0,0,0,,0
1582466-5,1150,900,0,0,,0
1582593-4,800,0,0,0,,0
1582838-4,1150,0,0,0,,0
1583111-3,0,0,0,0,,0
1583112-4,0,0,0,0,,0
1583154-4,500,0,0,0,,0
1583308-3,0,0,0,0,,0
1583312-3,0,0,0,0,,0
1583314-3,0,0,0,0,,0
1583315-3,0,0,0,0,,0
1583400-4,500,0,0,0,,0
1583401-4,500,0,0,0,,0
1583416-4,500,0,0,0,,899.75
1583484-4,0,0,0,0,,0
1583510-5,0,0,0,0,,0
1583671-4,500,0,0,0,,0
1583683-4,500,0,0,0,,0
1583786-5,0,0,0,0,,0
1583787-5,0,0,0,0,,0
1583797-4,500,0,0,0,,0
1584110-2,0,0,0,0,,0
1584111-2,0,0,0,0,,0
1584114-2,0,0,0,0,,0
1584115-2,0,0,0,0,,0
1584116-1,0,0,0,0,,0
1584117-1,0,0,0,0,,0
1584119-1,0,0,0,0,,0
1584120-1,0,0,0,0,,0
1584121-1,0,0,0,0,,0
1584122-1,0,0,0,0,,0
1584123-1,0,0,0,0,,0
1584124-1,0,0,0,0,,0
1584128-1,0,0,0,0,,0
1584129-1,0,0,0,0,,0
1584130-1,0,0,0,0,,0
1584131-1,0,0,0,0,,0
1584324-4,0,0,0,0,,0
1584325-4,0,0,0,0,,0
1584352-4,0,0,0,0,,0
1584375-5,800,650,0,0,,0
1584376-5,650,0,0,0,,0
1584377-5,0,0,0,0,,1299
1584378-5,0,0,0,0,,1299
1584379-5,0,0,0,0,,1299
1584380-5,800,0,0,0,,0
1584418-3,0,0,0,0,,0
1585145-4,0,0,0,0,,0
1586481-7,6000,0,0,0,,0
1586481-7A,6000,0,0,0,,0
158838-1,130,100,0,0,,0
158844-1,130,100,0,0,,0
1592176-2,450,0,0,0,,0
1592205-6,5250,0,0,0,,0
1592406-4,1500,0,0,0,,0
1592407-4,1500,0,0,0,,0
1592408-4,1500,0,0,0,,0
1592415-2,450,0,0,0,,0
1592423-6,2500,1400,0,0,,0
1592424-6,2500,1400,0,0,,0
1592425-6,2500,1400,0,0,,0
1592427-6,2500,1400,0,0,,0
1592448-4,1500,0,0,0,,0
1592449-4,1500,0,0,0,,0
1592450-4,1500,900,0,0,,0
1592451-4,1500,900,0,0,,0
1592454-4,900,0,0,0,,0
1592698-4,0,0,0,0,,1299
1592708-7,1600,0,0,0,,0
1593324-4,400,0,0,0,,0
1595452-5C,0,0,0,0,,0
1595460-5D,0,0,0,0,,0
1595463-5A,0,0,0,0,,0
1595465-5C,0,0,0,0,,0
1595477-5A,0,0,0,0,,0
1596207-3,1000,0,0,0,,1799.75
1596882-5,0,0,0,0,,2999.75
1596883-5,1800,0,0,0,,2999.75
1596884-5,0,0,0,0,,2999.75
1596885-5,1800,0,0,0,,2999.75
1596887-5,0,0,0,0,,2999.75
159943-5,0,0,0,0,,0
16-02017-4,0,0,0,0,,0
16-02018-5,0,0,0,0,,0
1613294-11,3100,0,0,0,,0
162006-10,3850,3000,0,0,,0
162008-10,0,0,0,0,,0
162012-4,1600,1400,1000,0,,1999.75
162013-9,7500,0,0,0,,0
162014-9,7500,0,0,0,,0
162025-10,3000,0,0,0,,0
162030-6,3300,2800,0,0,,3999.75
162031-6,3300,2800,0,0,,3999.75
162032-6,3300,2800,0,0,,3999.75
162034-3,1170,1000,1200,0,,1999.75
162035-3,1170,1000,1200,0,,1999.75
162036-3,1170,1000,1200,0,,1999.75
162037-3,1170,1000,1200,0,,1999.75
162038-6,4000,1500,0,0,,3999.75
162039-6,4000,1500,0,0,,3999.75
162040-6,3300,1500,0,0,,3999.75
162041-19,20000,15000,12000,0,,0
162042-4,1600,1000,0,0,,2799.75
162043-4,1600,1000,0,0,,2799.75
162044-4,1500,1500,0,0,,2799.75
162045-8,5000,3850,2999.875,0,,4999.75
162047-3,1200,1000,0,0,,2299.75
162048-3,1200,1000,0,0,,2299.75
162049-3,1200,1000,0,0,,2299.75
162050-3,1200,1000,1200,0,,1999.75
162051-3,1200,1000,1200,0,,1999.75
162052-3,1200,1000,1200,0,,1999.75
162053-3,1200,1000,1200,0,,1999.75
162054-3,1200,0,0,0,,0
162056-3,1200,0,0,0,,0
162057-8,5000,2500,3000,0,,4999.75
162058-8,5000,2500,3000,0,,4999.75
162059-4,2800,0,0,0,,2799.75
162060-4,2800,0,0,0,,2799.75
162061-4,2800,0,0,0,,2799.75
162063-8,0,0,0,0,,0
162064-4,1150,0,0,0,,2799.75
162065-4,1150,0,0,0,,2799.75
162066-4,1150,0,0,0,,2799.75
162067-10,0,0,0,0,,0
162069-9,3400,2700,0,0,,0
162071-6,2100,2000,0,0,,2999.75
162073-17,6000,4000,5000,0,,6999.75
162074-14,4000,3500,0,0,,3999.75
162076-4,1800,1000,1200,0,,1799.75
162077-4,1800,1000,1200,0,,1799.75
162082-9,4000,2500,2400,0,,3999.75
162083-9,4000,2500,2400,0,,3999.75
162084-9,4000,2500,2400,0,,3999.75
162085-4,2800,1500,0,0,,2799.75
162087-4,2800,1500,0,0,,2799.75
162089-4,1150,1150,0,0,,2499.75
162090-4,1150,0,0,0,,2499.75
162091-6,2000,1400,1200,0,,1999.75
162092-6,2000,1400,1200,0,,1999.75
162093-6,2000,1400,1200,0,,1999.75
162094-4,1500,1000,1200,0,,2299.75
162095-4,1500,1000,1200,0,,2299.75
162096-6,4000,2000,0,0,,3999.75
162097-6,2300,2000,0,0,,3999.75
162099-4,1500,1000,0,0,,2299.75
162100-4,1150,1000,0,0,,2299.75
162102-30,10000,7000,0,0,,12950
162104-4,1200,1000,1200,0,,1799.75
162105-4,2500,0,0,0,,2499.75
162106-4,2500,0,0,0,,2499.75
162107-4,2500,0,0,0,,2499.75
162108-4,2000,0,0,0,,1999.75
162109-4,2000,0,0,0,,1999.75
162110-4,2000,0,0,0,,1999.75
162111-6,2300,2000,0,0,,3999.75
162114-10,5000,3500,0,0,,0
162115-17,0,0,0,0,,0
1621160-4,1900,0,0,0,,0
162118-17,7000,5000,0,0,,7995
1621200-6,1000,0,0,0,,0
162120-12,4000,0,0,0,,0
1621205-6,0,0,0,0,,0
1621206-5,800,0,0,0,,0
1621207-6,900,0,0,0,,0
1621208-6,900,0,0,0,,0
1621209-6,900,0,0,0,,0
1621210-6,900,0,0,0,,0
162121-10,3850,3850,0,0,,0
1621230-6,1200,1000,0,0,,0
1621233-6,1200,1000,0,0,,0
1621234-6,1200,1000,0,0,,0
162125-6,2300,0,0,0,,0
162126-9,3300,3000,0,0,,4999.75
162127-9,3300,3000,0,0,,4999.75
162128-6,2300,2300,0,0,,3999.75
162129-6,2300,2300,0,0,,3999.75
162130-6,2300,2300,0,0,,3999.75
162131-6,2300,2300,0,0,,3999.75
1621318-10,1900,0,0,0,,0
1621323-16,2499.88,0,0,0,,4999
1621323-16Q,0,0,0,0,,4999
1621324-16,0,0,0,0,,0
1621324-16Q,0,0,0,0,,4999
1621325-17,3999.88,0,0,0,,0
162132-6,2300,0,0,0,,3999.75
1621326-17,4000,3999.88,0,0,,0
1621327-16,3900,0,0,0,,0
1621332-10,1900,0,0,0,,0
162133-6,2300,0,0,0,,3999.75
162134-6,2300,0,0,0,,3999.75
162135-4,3000,1000,1200,0,,2999.75
162136-4,3000,1000,1200,0,,2999.75
1621371-17,4000,0,0,0,,0
1621378-3,400,0,0,0,,0
1621381-5,1200,0,0,0,,0
162138-4,3000,1000,1200,0,,2999.75
1621388-1,0,0,0,0,,0
1621389-5,1500,1149.875,0,0,,0
1621390-5,1500,0,0,0,,0
1621391-5,1500,0,0,0,,0
1621402-11,2000,0,0,0,,0
1621405-17,0,0,0,0,,0
1621406-17,4000,0,0,0,,0
1621407-6,0,0,0,0,,0
1621408-6,0,0,0,0,,0
1621409-6,0,0,0,0,,0
162142-16,13000,10000,0,0,,0
162143-23,14500,9000,0,0,,0
162147-6,3800,1500,0,0,,3799.75
162149-6,3800,1500,0,0,,3799.75
1621507-17,4000,0,0,0,,0
1621508-17,4000,0,0,0,,0
162150-9,6000,3500,0,0,,5999.75
1621509-17,0,0,0,0,,0
1621510-17,4000,0,0,0,,0
1621512-10,3000,0,0,0,,0
1621513-10,3000,2500,0,0,,0
1621518-11,0,0,0,0,,4999
162151-9,6000,3500,0,0,,5999.75
1621525-19,0,0,0,0,,0
1621526-7,1900,0,0,0,,0
1621527-7,1900,1500,0,0,,0
1621529-8,0,0,0,0,,0
162154-9,6000,0,0,0,,0
1621551-16,3000,0,0,0,,0
162155-9,6000,0,0,0,,0
1621559-4,1200,0,0,0,,0
1621562-8,0,0,0,0,,4999
162156-6,2300,7700,0,0,,3999.75
1621571-9,0,0,0,0,,0
1621572-4,1200,0,0,0,,0
1621573-4,1200,0,0,0,,0
1621574-10,3000,0,0,0,,0
162157-6,2300,7700,0,0,,3999.75
1621576-10,0,0,0,0,,0
1621579-12,0,0,0,0,,0
1621583-17,4000,0,0,0,,0
1621584-17,4000,0,0,0,,0
162158-6,2300,7700,0,0,,3999.75
1621606-10,0,0,0,0,,0
1621607-10,0,0,0,0,,0
1621612-14,0,0,0,0,,0
