id,Order Reference,Delivery Date,Product,Customer,Quantity,Unit Price,Description,Product Category,Weight,Salesperson,Type of Payment,Invoice Status,Order Status,Delivery Quantity,Barcode SKU,Subtotal,Variant SKU,Spatio Description
,SO 01356,3/31/2025 15:00,W16220-6,Furniture Depot - Salawag,1,220,W16220-6,All,,MPC Merchandiser,,To Invoice,sale,0,,220,,
,SO 01356,3/31/2025 15:00,W21469-4,Furniture Depot - Salawag,1,500,"W21469-4
Laminated - Leaf",Quadro - Wall Art,,MPC Merchandiser,,Nothing to Invoice,sale,0,,500,W21469-4,
,SO 01356,3/31/2025 15:00,W21468-4,Furniture Depot - Salawag,1,500,"W21468-4
Laminated - Leaf",Quadro - Wall Art,,MPC Merchandiser,,Nothing to Invoice,sale,0,,500,W21468-4,
,SO 01355,2/28/2025 15:00,W1765-18,Furniture Depot - Salawag,1,"1,500.00","W1765-18
Print On Glass - Pier Of Solitude (Set Of 3)",Quadro - Wall Art,,MPC Merchandiser,,Fully Invoiced,sale,1,,"1,500.00",W1765-18,
,SO 01357,1/31/2025 16:00,1324066-1,Furniture Depot - Salawag,2,120,"1324066-1
Assorted Wall Decor",Quadro - Wall Art,0.25,MPC Merchandiser,,Fully Invoiced,sale,2,,240,,
,SO 01357,1/31/2025 16:00,O20038-6,Furniture Depot - Salawag,1,280,"O20038-6
Rubber Mat
(4pcs/pack) Pink",Quadro - Others,,MPC Merchandiser,,Fully Invoiced,sale,1,,280,,
,SO 01357,1/31/2025 16:00,O20036-6,Furniture Depot - Salawag,1,280,"O20036-6
Rubber Mat
(4pcs/pack) Brown",Quadro - Others,,MPC Merchandiser,,Fully Invoiced,sale,1,,280,,
,SO 01357,1/31/2025 16:00,162450-9,Furniture Depot - Salawag,1,"1,500.00","162450-9
tiger",Quadro - Wall Art,,MPC Merchandiser,,Fully Invoiced,sale,1,,"1,500.00",162450-9,
,SO 01357,1/31/2025 16:00,C1514-2,Furniture Depot - Salawag,0,0,"C1514-2
Round Plastic Wall clock (white)",Quadro - Clock,,MPC Merchandiser,,Fully Invoiced,sale,0,,,C1514-2,
,SO 01357,1/31/2025 16:00,17-02082-3WH,Furniture Depot - Salawag,1,350,"17-02082-3WH
clock",Quadro - Clock,,MPC Merchandiser,,Fully Invoiced,sale,1,,350,17-02082-3WH,
,SO 01351,2/28/2025 11:00,1223010-1,Rustan's FS Alabang Town Center,2,499,"1223010-1
 Vase Blue",Quadro - Table Décor,0.82,MPC Merchandiser,,Fully Invoiced,sale,2,483760,998,,
,SO 01351,2/28/2025 11:00,624013-6,Rustan's FS Alabang Town Center,1,599.75,"624013-6
Hanging Ivy Leaves (green)",Floral,,MPC Merchandiser,,Fully Invoiced,sale,1,484835,599.75,,
,SO 01351,2/28/2025 11:00,624016-4,Rustan's FS Alabang Town Center,16,399.75,"624016-4
Fern Leaves",Floral,,MPC Merchandiser,,Fully Invoiced,sale,16,484838,"6,396.00",,
,SO 01351,2/28/2025 11:00,1223028-1,Rustan's FS Alabang Town Center,1,279,"1223028-1
Vase",Quadro - Table Décor,0.4,MPC Merchandiser,,Fully Invoiced,sale,1,484841,279,,
,SO 01360,2/28/2025 17:00,624020-1,Rustan's FS Alabang Town Center,4,49.5,"624020-1
Moss",Quadro - Artificial Plants & Flowers,50g,MPC Merchandiser,,Fully Invoiced,sale,4,477724,198,,
,SO 01360,2/28/2025 17:00,1223008-1,Rustan's FS Alabang Town Center,1,329,"1223008-1
 Vase Cream",Quadro - Table Décor,0.4,MPC Merchandiser,,Fully Invoiced,sale,1,483759,329,,
,SO 01360,2/28/2025 17:00,1223013-1,Rustan's FS Alabang Town Center,1,699,"1223013-1
 Vase White",Quadro - Table Décor,1.6,MPC Merchandiser,,Fully Invoiced,sale,1,483761,699,,
,SO 01360,2/28/2025 17:00,1223020-1,Rustan's FS Alabang Town Center,1,329,"1223020-1
 Vase Gray",Quadro - Table Décor,0.5,MPC Merchandiser,,Fully Invoiced,sale,1,483762,329,,
,SO 01360,2/28/2025 17:00,624020-1,Rustan's FS Alabang Town Center,3,69.75,"624020-1
Moss",Quadro - Artificial Plants & Flowers,50g,MPC Merchandiser,,Fully Invoiced,sale,3,484790,209.25,,
,SO 01350,2/28/2025 11:00,T1920-1,Rustan's FS Floret Rockwell,17,399.75,"T1920-1
Ceramic Vase (Black)",Quadro - Table Décor,,MPC Merchandiser,,Fully Invoiced,sale,17,478310,"6,795.75",T1920-1,
,SO 01350,2/28/2025 11:00,624020-1,Rustan's FS Floret Rockwell,56,69.75,"624020-1
Moss",Quadro - Artificial Plants & Flowers,50g,MPC Merchandiser,,Fully Invoiced,sale,56,484790,"3,906.00",,
,SO 01350,2/28/2025 11:00,1224043-1,Rustan's FS Floret Rockwell,18,399,"1224043-1
Vase",Quadro - Table Décor,1.25,MPC Merchandiser,,Fully Invoiced,sale,18,485104,"7,182.00",,1224043-1
,SO 01349,2/28/2025 11:00,1223007-1,Rustan's FS Floret Makati,3,329,"1223007-1
 Vase Gray",Quadro - Table Décor,0.45,MPC Merchandiser,,Fully Invoiced,sale,3,483758,987,,
,SO 01349,2/28/2025 11:00,624020-1,Rustan's FS Floret Makati,51,69.75,"624020-1
Moss",Quadro - Artificial Plants & Flowers,50g,MPC Merchandiser,,Fully Invoiced,sale,51,484790,"3,557.25",,
,SO 01349,2/28/2025 11:00,1223030-1,Rustan's FS Floret Makati,4,279,"1223030-1
Vase",Quadro - Table Décor,0.65,MPC Merchandiser,,Fully Invoiced,sale,4,484842,"1,116.00",,
,SO 01352,2/28/2025 11:00,T1920-1,Rustan's FS Cebu,4,399.75,"T1920-1
Ceramic Vase (Black)",Quadro - Table Décor,,MPC Merchandiser,,Fully Invoiced,sale,4,478310,"1,599.00",T1920-1,
,SO 01352,2/28/2025 11:00,1223002-1,Rustan's FS Cebu,1,329,"1223002-1
 Vase Black",Quadro - Table Décor,0.5,MPC Merchandiser,,Fully Invoiced,sale,1,483757,329,,
,SO 01352,2/28/2025 11:00,624020-1,Rustan's FS Cebu,24,69.75,"624020-1
Moss",Quadro - Artificial Plants & Flowers,50g,MPC Merchandiser,,Fully Invoiced,sale,24,484790,"1,674.00",,
,SO 01353,2/28/2025 11:00,624016-4,Rustan's FS Makati,6,545,"624016-4
Fern Leaves",Floral,,MPC Merchandiser,,Fully Invoiced,sale,6,484838,"3,270.00",,
,SO 01353,2/28/2025 11:00,624017-3,Rustan's FS Makati,3,395,"624017-3
Fern Leaves",Floral,,MPC Merchandiser,,Fully Invoiced,sale,3,484839,"1,185.00",,
,SO 01359,2/28/2025 16:00,624020-1,Rustan's FS Makati,5,69.75,"624020-1
Moss",Quadro - Artificial Plants & Flowers,50g,MPC Merchandiser,,Fully Invoiced,sale,5,484790,348.75,,
,SO 01359,2/28/2025 16:00,1224043-1,Rustan's FS Makati,2,399,"1224043-1
Vase",Quadro - Table Décor,1.25,MPC Merchandiser,,Fully Invoiced,sale,2,485104,798,,1224043-1
,SO 01358,1/31/2025 16:00,624020-1,Rustan's FS Makati,4,69.75,"624020-1
Moss",Quadro - Artificial Plants & Flowers,50g,Receivable Officer,,Fully Invoiced,sale,4,,279,,
,SO 01348,1/31/2025 10:00,624020-1,Rustan's FS Makati,0,89.5,"624020-1
Moss",Quadro - Artificial Plants & Flowers,50g,MPC Merchandiser,,Fully Invoiced,sale,0,484790,,,
,SO 01348,1/31/2025 10:00,624016-4,Rustan's FS Makati,1,399.75,"624016-4
Fern Leaves",Floral,,MPC Merchandiser,,Fully Invoiced,sale,1,484838,399.75,,
,SO 01348,1/31/2025 10:00,624017-3,Rustan's FS Makati,3,279.75,"624017-3
Fern Leaves",Floral,,MPC Merchandiser,,Fully Invoiced,sale,3,484839,839.25,,
,SO 01340,2/2/2025 8:00,824011-11,Fiesta Home Lipa,1,"4,299.00","824011-11
Standing Mirror",Quadro - Mirror,,Inventory Audit,,Fully Invoiced,sale,1,,"4,299.00",,
,SO 01339,2/8/2025 15:00,M1625-12,Fiesta Home Batangas,1,"3,999.75","M1625-12
Mirror",Quadro - Mirror,7.9,Inventory Audit,,Fully Invoiced,sale,1,,"3,999.75",,
,SO 01338,2/28/2025 9:00,1123122-1M,Rustan's DS Shangrila,1,"1,750.00","1123122-1M
Tropical Golden Accent Leaf ",Quadro - Table Décor,0.45,Inventory Audit,,Fully Invoiced,sale,1,,"1,750.00",,
,SO 01338,2/28/2025 9:00,1124049-1,Rustan's DS Shangrila,4,"1,950.00","1124049-1
Copper Gold Fish",Quadro - Table Décor,1.05,Inventory Audit,,Fully Invoiced,sale,4,,"7,800.00",,
,SO 01338,2/28/2025 9:00,1124050-1,Rustan's DS Shangrila,1,"4,950.00","1124050-1
Copper Gold Fish",Quadro - Table Décor,0.4,Inventory Audit,,Fully Invoiced,sale,1,,"4,950.00",,
,SO 01338,2/28/2025 9:00,1124051-1,Rustan's DS Shangrila,1,"4,750.00","1124051-1
Copper Gold Fish",Quadro - Table Décor,0.35,Inventory Audit,,Fully Invoiced,sale,1,,"4,750.00",,
,SO 01338,2/28/2025 9:00,1124052-1,Rustan's DS Shangrila,1,"4,750.00","1124052-1
Copper Gold Fish",Quadro - Table Décor,0.25,Inventory Audit,,Fully Invoiced,sale,1,,"4,750.00",,
,SO 01337,2/27/2025 9:00,1123136-1,Rustan's DS Shangrila,2,"7,050.00","1123136-1
Bird Copper Agate Marble",Quadro - Table Décor,2.15,Inventory Audit,,Fully Invoiced,sale,2,,"14,100.00",,
,SO 01337,2/27/2025 9:00,1124046-1,Rustan's DS Shangrila,1,"4,950.00","1124046-1
Copper Natural Greenstone Marble",Quadro - Table Décor,2.55,Inventory Audit,,Fully Invoiced,sale,1,,"4,950.00",,
,SO 01337,2/27/2025 9:00,1124047-1,Rustan's DS Shangrila,1,"6,950.00","1124047-1
Copper Natural Greenstone Marble",Quadro - Table Décor,2.25,Inventory Audit,,Fully Invoiced,sale,1,,"6,950.00",,
,SO 01337,2/27/2025 9:00,1124048-1,Rustan's DS Shangrila,1,"6,450.00","1124048-1
Copper Natural Greenstone Marble",Quadro - Table Décor,2.05,Inventory Audit,,Fully Invoiced,sale,1,,"6,450.00",,
,SO 01336,2/26/2025 9:00,1124035-1,Rustan's DS Shangrila,1,"6,950.00","1124035-1
Birds Agate Copper K9 Crystal ",Quadro - Table Décor,2.65,Inventory Audit,,Fully Invoiced,sale,1,,"6,950.00",,
,SO 01336,2/26/2025 9:00,T16267-1,Rustan's DS Shangrila,11,375,"T16267-1
14 Cm Topper Glass Vase",Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,11,,"4,125.00",T16267-1,
,SO 01335,2/15/2025 9:00,1123137-1,Rustan's DS Shangrila,1,"7,050.00","1123137-1
Bird Copper Agate Marble",Quadro - Table Décor,2.1,Inventory Audit,,Fully Invoiced,sale,1,,"7,050.00",,
,SO 01334,2/13/2025 9:00,924067-1,Rustan's DS Shangrila,1,145,"924067-1
Glass Jar",Quadro - Others,0.35,Inventory Audit,,Fully Invoiced,sale,1,,145,,
,SO 01334,2/13/2025 9:00,924068-1,Rustan's DS Shangrila,1,145,"924068-1
Glass Jar",Quadro - Others,0.4,Inventory Audit,,Fully Invoiced,sale,1,,145,,
,SO 01333,2/9/2025 9:00,1123113-1B,Rustan's DS Shangrila,1,"1,850.00","1123113-1B
Black Chien Balloon Dog",Quadro - Table Décor,0.5,Inventory Audit,,Fully Invoiced,sale,1,,"1,850.00",,
,SO 01333,2/9/2025 9:00,1123113-1W,Rustan's DS Shangrila,1,"1,850.00","1123113-1W
White Chien Balloon Dog",Quadro - Table Décor,0.5,Inventory Audit,,Fully Invoiced,sale,1,,"1,850.00",,
,SO 01333,2/9/2025 9:00,924069-1,Rustan's DS Shangrila,13,110,"924069-1
Glass Jar",Quadro - Others,0.25,Inventory Audit,,Fully Invoiced,sale,13,,"1,430.00",,
,SO 01332,2/5/2025 9:00,1123113-1B,Rustan's DS Shangrila,1,"1,850.00","1123113-1B
Black Chien Balloon Dog",Quadro - Table Décor,0.5,Inventory Audit,,Fully Invoiced,sale,1,,"1,850.00",,
,SO 01332,2/5/2025 9:00,1123113-1W,Rustan's DS Shangrila,1,"1,850.00","1123113-1W
White Chien Balloon Dog",Quadro - Table Décor,0.5,Inventory Audit,,Fully Invoiced,sale,1,,"1,850.00",,
,SO 01331,2/3/2025 9:00,1123113-1B,Rustan's DS Shangrila,1,"1,850.00","1123113-1B
Black Chien Balloon Dog",Quadro - Table Décor,0.5,Inventory Audit,,Fully Invoiced,sale,1,,"1,850.00",,
,SO 01331,2/3/2025 9:00,1123113-1W,Rustan's DS Shangrila,2,"1,850.00","1123113-1W
White Chien Balloon Dog",Quadro - Table Décor,0.5,Inventory Audit,,Fully Invoiced,sale,2,,"3,700.00",,
,SO 01330,2/27/2025 9:00,1123134-1,Rustan's DS Makati,1,"7,050.00","1123134-1
Natural Blue Crystal Glass",Quadro - Table Décor,3,Inventory Audit,,Fully Invoiced,sale,1,,"7,050.00",,
,SO 01329,2/26/2025 9:00,1123043-1,Rustan's DS Makati,4,"1,550.00","1123043-1
Cylindrical Metal Hurricane Candle Holder",Quadro - Table Décor,0.7,Inventory Audit,,Fully Invoiced,sale,4,,"6,200.00",,harmony n homes candle holder cylinder43
,SO 01329,2/26/2025 9:00,1123044-1,Rustan's DS Makati,3,"1,350.00","1123044-1
Cylindrical Metal Hurricane Candle Holder",Quadro - Table Décor,0.55,Inventory Audit,,Fully Invoiced,sale,3,,"4,050.00",,harmony n homes candle holder cylinder44
,SO 01329,2/26/2025 9:00,1223101-3,Rustan's DS Makati,10,"2,750.00","1223101-3
Gold Decorative Vase",Quadro - Table Décor,1.75,Inventory Audit,,Fully Invoiced,sale,10,,"27,500.00",,
,SO 01329,2/26/2025 9:00,1223102-2,Rustan's DS Makati,10,"2,250.00","1223102-2
Gold Decorative Vase",Quadro - Table Décor,1.6,Inventory Audit,,Fully Invoiced,sale,10,,"22,500.00",,
,SO 01328,2/20/2025 9:00,924067-1,Rustan's DS Makati,1,145,"924067-1
Glass Jar",Quadro - Others,0.35,Inventory Audit,,Fully Invoiced,sale,1,,145,,
,SO 01327,2/19/2025 9:00,1224037-1,Rustan's DS Makati,1,"1,475.00","1224037-1
Decorative Vase with Cover",Quadro - Table Décor,2.4,Inventory Audit,,Fully Invoiced,sale,1,,"1,475.00",,
,SO 01327,2/19/2025 9:00,1224039-1,Rustan's DS Makati,1,"1,275.00","1224039-1
Decorative Vase with Cover",Quadro - Table Décor,1.8,Inventory Audit,,Fully Invoiced,sale,1,,"1,275.00",,
,SO 01326,2/5/2025 9:00,1123113-1B,Rustan's DS Makati,1,"1,850.00","1123113-1B
Black Chien Balloon Dog",Quadro - Table Décor,0.5,Inventory Audit,,Fully Invoiced,sale,1,,"1,850.00",,
,SO 01326,2/5/2025 9:00,1123109-1W,Rustan's DS Makati,1,"2,050.00","1123109-1W
White English Bulldog",Quadro - Table Décor,0.8,Inventory Audit,,Fully Invoiced,sale,1,,"2,050.00",,
,SO 01325,2/1/2025 9:00,1123113-1B,Rustan's DS Makati,1,"1,850.00","1123113-1B
Black Chien Balloon Dog",Quadro - Table Décor,0.5,Inventory Audit,,Fully Invoiced,sale,1,,"1,850.00",,
,SO 01325,2/1/2025 9:00,924076-1,Rustan's DS Makati,1,395,"924076-1
Medium Storage Glass Jar",Quadro - Others,0.6,Inventory Audit,,Fully Invoiced,sale,1,,395,,
,SO 01324,2/26/2025 9:00,1224027-1,Rustan's DS Ayala-Alabang,1,995,"1224027-1
Vase",Quadro - Table Décor,0.75,Inventory Audit,,Fully Invoiced,sale,1,,995,,
,SO 01324,2/26/2025 9:00,1224028-1,Rustan's DS Ayala-Alabang,1,995,"1224028-1
Vase",Quadro - Table Décor,0.75,Inventory Audit,,Fully Invoiced,sale,1,,995,,
,SO 01323,2/22/2025 9:00,924075-1,Rustan's DS Ayala-Alabang,1,695,"924075-1
Large Storage Glass Jar",Quadro - Others,1.1,Inventory Audit,,Fully Invoiced,sale,1,,695,,
,SO 01323,2/22/2025 9:00,924076-1,Rustan's DS Ayala-Alabang,1,395,"924076-1
Medium Storage Glass Jar",Quadro - Others,0.6,Inventory Audit,,Fully Invoiced,sale,1,,395,,
,SO 01323,2/22/2025 9:00,924077-1,Rustan's DS Ayala-Alabang,1,295,"924077-1
Small Storage Glass Jar",Quadro - Others,0.45,Inventory Audit,,Fully Invoiced,sale,1,,295,,
,SO 01322,2/17/2025 9:00,924075-1,Rustan's DS Ayala-Alabang,3,695,"924075-1
Large Storage Glass Jar",Quadro - Others,1.1,Inventory Audit,,Fully Invoiced,sale,3,,"2,085.00",,
,SO 01321,2/15/2025 9:00,1124031-2,Rustan's DS Ayala-Alabang,1,"2,450.00","1124031-2
Green Leaf",Quadro - Table Décor,1.35,Inventory Audit,,Fully Invoiced,sale,1,,"2,450.00",,
,SO 01321,2/15/2025 9:00,1124032-1,Rustan's DS Ayala-Alabang,1,"2,450.00","1124032-1
Green Leaf",Quadro - Table Décor,1.65,Inventory Audit,,Fully Invoiced,sale,1,,"2,450.00",,
,SO 01321,2/15/2025 9:00,1123144-1,Rustan's DS Ayala-Alabang,1,"5,050.00","1123144-1
Elephant Copper Natural Mineral Stone",Quadro - Table Décor,2,Inventory Audit,,Fully Invoiced,sale,1,,"5,050.00",,
,SO 01320,2/11/2025 8:00,1123113-1B,Rustan's DS Ayala-Alabang,1,"1,850.00","1123113-1B
Black Chien Balloon Dog",Quadro - Table Décor,0.5,Inventory Audit,,Fully Invoiced,sale,1,,"1,850.00",,
,SO 01319,2/10/2025 8:00,924076-1,Rustan's DS Ayala-Alabang,1,395,"924076-1
Medium Storage Glass Jar",Quadro - Others,0.6,Inventory Audit,,Fully Invoiced,sale,1,,395,,
,SO 01319,2/10/2025 8:00,924077-1,Rustan's DS Ayala-Alabang,1,295,"924077-1
Small Storage Glass Jar",Quadro - Others,0.45,Inventory Audit,,Fully Invoiced,sale,1,,295,,
,SO 01318,2/9/2025 8:00,1224028-1,Rustan's DS Ayala-Alabang,1,995,"1224028-1
Vase",Quadro - Table Décor,0.75,Inventory Audit,,Fully Invoiced,sale,1,,995,,
,SO 01318,2/9/2025 8:00,924016-3,Rustan's DS Ayala-Alabang,1,"2,975.00","924016-3
2Piece Vintage Accent Tray",Quadro - Others,1.9,Inventory Audit,,Fully Invoiced,sale,1,,"2,975.00",,
,SO 01318,2/9/2025 8:00,923004-1,Rustan's DS Ayala-Alabang,1,575,"923004-1
3 Piece Glossy White Plain Bath Set ",Quadro - Others,0.8,Inventory Audit,,Fully Invoiced,sale,1,,575,,
,SO 01317,2/7/2025 8:00,924016-3,Rustan's DS Ayala-Alabang,1,"2,975.00","924016-3
2Piece Vintage Accent Tray",Quadro - Others,1.9,Inventory Audit,,Fully Invoiced,sale,1,,"2,975.00",,
,SO 01317,2/7/2025 8:00,1224038-1,Rustan's DS Ayala-Alabang,1,"1,475.00","1224038-1
Decorative Vase with Cover",Quadro - Table Décor,1.7,Inventory Audit,,Fully Invoiced,sale,1,,"1,475.00",,
,SO 01317,2/7/2025 8:00,1224040-1,Rustan's DS Ayala-Alabang,1,"1,275.00","1224040-1
Decorative Vase with Cover",Quadro - Table Décor,1.15,Inventory Audit,,Fully Invoiced,sale,1,,"1,275.00",,
,SO 01316,2/5/2025 8:00,924013-3,Rustan's DS Ayala-Alabang,1,"2,975.00","924013-3
2Piece Agate Accent Tray",Quadro - Others,1.9,MPC Merchandiser,,Fully Invoiced,sale,1,,"2,975.00",,
,SO 01305,2/28/2025 15:00,M1957-26,HD Ortigas,1,"7,999.00","M1957-26
Mirror Shelane (Wenge)",Quadro - Mirror,17.8,MPC Prep Staff,,Fully Invoiced,sale,1,,"7,999.00",,
,SO 01305,2/28/2025 15:00,824008-7,HD Ortigas,1,"2,999.00","824008-7
Standing Mirror",Quadro - Mirror,4.75,MPC Prep Staff,,Fully Invoiced,sale,1,,"2,999.00",,
,SO 01305,2/28/2025 15:00,923014-2,HD Ortigas,1,"1,799.00","923014-2
2Piece Wooden Fruit Tray",Quadro - Others,1.05,MPC Prep Staff,,Fully Invoiced,sale,1,,"1,799.00",,
,SO 01305,2/28/2025 15:00,T21183-1,HD Ortigas,1,299.75,"T21183-1
Ceramic - Vase (Copper)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,299.75,T21183-1,
,SO 01305,2/28/2025 15:00,T21190-1,HD Ortigas,1,299.75,"T21190-1
Ceramic - Vase (Gold)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,299.75,T21190-1,
,SO 01305,2/28/2025 15:00,T21093-1,HD Ortigas,1,299.75,"T21093-1
Ceramic - Vase (Pink)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,299.75,T21093-1,
,SO 01305,2/28/2025 15:00,T21094-1,HD Ortigas,1,299.75,"T21094-1
Ceramic - Vase (Violet)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,299.75,T21094-1,
,SO 01305,2/28/2025 15:00,T21089-1,HD Ortigas,2,79.75,"T21089-1
Ceramic - Vase (White)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,2,,159.5,T21089-1,
,SO 01305,2/28/2025 15:00,T21144-1,HD Ortigas,1,299.75,"T21144-1
Td - Ceramic Vases Cream",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,299.75,T21144-1,
,SO 01305,2/28/2025 15:00,T21151-1,HD Ortigas,2,299.75,"T21151-1
Td - Ceramic Vases Green",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,2,,599.5,T21151-1,
,SO 01305,2/28/2025 15:00,T21145-1,HD Ortigas,2,299.75,"T21145-1
Td - Ceramic Vases Peach",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,2,,599.5,T21145-1,
,SO 01305,2/28/2025 15:00,T21136-1,HD Ortigas,2,199.75,"T21136-1
Td - Ceramic Vases Pink",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,2,,399.5,T21136-1,
,SO 01305,2/28/2025 15:00,T21143-1,HD Ortigas,1,299.75,"T21143-1
Td - Ceramic Vases Pink",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,299.75,T21143-1,
,SO 01305,2/28/2025 15:00,T21114-1,HD Ortigas,1,499.75,"T21114-1
Td - Ceramic Vases Red",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,499.75,T21114-1,
,SO 01305,2/28/2025 15:00,T21112-1,HD Ortigas,1,499.75,"T21112-1
Td - Ceramic Vases Pink",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,499.75,T21112-1,
,SO 01305,2/28/2025 15:00,T21141-1,HD Ortigas,1,299.75,"T21141-1
Td - Ceramic Vases Red",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,299.75,T21141-1,
,SO 01305,2/28/2025 15:00,T21142-1,HD Ortigas,2,499.75,"T21142-1
Td - Ceramic Vases Red",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,2,,999.5,T21142-1,
,SO 01305,2/28/2025 15:00,1123095-1,HD Ortigas,2,399,"1123095-1
Diamond Shaped Jar W/ Lid - White S",Quadro - Table Décor,0.55,MPC Prep Staff,,Fully Invoiced,sale,2,,798,,
,SO 01305,2/28/2025 15:00,1223027-1,HD Ortigas,1,279,"1223027-1
Vase",Quadro - Table Décor,0.8,MPC Prep Staff,,Fully Invoiced,sale,1,,279,,
,SO 01305,2/28/2025 15:00,1223030-1,HD Ortigas,1,279,"1223030-1
Vase",Quadro - Table Décor,0.65,MPC Prep Staff,,Fully Invoiced,sale,1,,279,,
,SO 01305,2/28/2025 15:00,1223031-1,HD Ortigas,1,279,"1223031-1
Vase",Quadro - Table Décor,0.65,MPC Prep Staff,,Fully Invoiced,sale,1,,279,,
,SO 01305,2/28/2025 15:00,924066-1,HD Ortigas,1,179,"924066-1
Glass Jar",Quadro - Others,0.5,MPC Prep Staff,,Fully Invoiced,sale,1,,179,,
,SO 01305,2/28/2025 15:00,1224047-1,HD Ortigas,1,399,"1224047-1
Decorative Vase brown",Quadro - Table Décor,0.35,MPC Prep Staff,,Fully Invoiced,sale,1,,399,,
,SO 01308,2/28/2025 15:00,M1704-19,HD Commonwealth,1,"6,999.75","M1704-19
Mirror",Quadro - Mirror,11.75,MPC Prep Staff,,Fully Invoiced,sale,1,,"6,999.75",,
,SO 01308,2/28/2025 15:00,824007-5,HD Commonwealth,1,"2,499.00","824007-5
Standing Mirror",Quadro - Mirror,4.55,MPC Prep Staff,,Fully Invoiced,sale,1,,"2,499.00",,
,SO 01308,2/28/2025 15:00,T21190-1,HD Commonwealth,1,299.75,"T21190-1
Ceramic - Vase (Gold)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,299.75,T21190-1,
,SO 01308,2/28/2025 15:00,T21194-1,HD Commonwealth,1,299.75,"T21194-1
Ceramic - Vase (Silver)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,299.75,T21194-1,
,SO 01308,2/28/2025 15:00,1123097-1,HD Commonwealth,1,399,"1123097-1
Diamond Shaped Jar W/ Lid - Green S",Quadro - Table Décor,0.55,MPC Prep Staff,,Fully Invoiced,sale,1,,399,,
,SO 01306,2/28/2025 15:00,824003-5,HD Balintawak,2,"2,499.00","824003-5
Standing Mirror",Quadro - Mirror,4.25,MPC Prep Staff,,Fully Invoiced,sale,2,,"4,998.00",,
,SO 01306,2/28/2025 15:00,T16288-1,HD Balintawak,1,200,"T16288-1
22.5 Cm Linear Ceramic Vase (Assorted Colors)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,200,T16288-1,
,SO 01307,2/28/2025 15:00,06028-400,HD Alabang,1,100,"06028-400
Ceramic Candle Holder (White)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,100,06028-400,
,SO 01307,2/28/2025 15:00,06028-403,HD Alabang,1,100,"06028-403
Ceramic Candle Holder (Yellow)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,100,06028-403,
,SO 01307,2/28/2025 15:00,06028-434,HD Alabang,1,100,"06028-434
Ceramic Candle Holder (Blue Green)",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,100,06028-434,
,SO 01307,2/28/2025 15:00,RD16390-6,HD Alabang,1,"1,200.00","RD16390-6
Resin - Anastacia",Quadro - 3D,,MPC Prep Staff,,Fully Invoiced,sale,1,,"1,200.00",RD16390-6,
,SO 01307,2/28/2025 15:00,09347-140,HD Alabang,1,550,"09347-140
Tube Vase",Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,1,,550,09347-140,
,SO 01307,2/28/2025 15:00,14163-1-484,HD Alabang,1,350,"14163-1-484
Grass Bush W/ 3 Flower (Cream)",Floral,,MPC Prep Staff,,Fully Invoiced,sale,1,,350,,
,SO 01307,2/28/2025 15:00,924065-1,HD Alabang,1,179,"924065-1
Glass Jar",Quadro - Others,0.45,MPC Prep Staff,,Fully Invoiced,sale,1,,179,,
,SO 01307,2/28/2025 15:00,1224061-1,HD Alabang,2,279,"1224061-1
Decorative Vase white",Quadro - Table Décor,0.4,MPC Prep Staff,,Fully Invoiced,sale,2,,558,,
,SO 01307,2/28/2025 15:00,23027-1-344,HD Alabang,4,50,"23027-1-344
Panicum Grass bush (white)",Floral,,MPC Prep Staff,,Fully Invoiced,sale,4,,200,,
,SO 01307,2/28/2025 15:00,23012-1-344,HD Alabang,1,350,"23012-1-344
Wild Achillea Grass (Yellow)",Floral,,MPC Prep Staff,,Fully Invoiced,sale,1,,350,,
