id,Order Reference,Delivery Date,Product,Customer,Quantity,Unit Price,Description,Product Category,Weight,Salesperson,Type of Payment,Invoice Status,Order Status,Delivery Quantity,Barcode SKU,Subtotal,Variant SKU,Spatio Description
,SO 00333,5/30/2023 0:00,SM21019-18,Magic Tayug,1,"4,000.00",SM21019-18,Quadro - Mirror,,Inventory Audit,,Fully Invoiced,sale,1,,"4,000.00",,
,SO 00332,5/19/2023 0:00,BM1915-19,Magic Tayug,1,"7,000.00",BM1915-19,Quadro - Mirror,,Inventory Audit,,Fully Invoiced,sale,1,,"7,000.00",BM1915-19,
,SO 00331,5/18/2023 0:00,T15225-1,Magic San Carlos,1,"1,300.00",T15225-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,300.00",T15225-1,
,SO 00330,5/8/2023 0:00,C-T21100-1 WHT,Magic San Carlos,0,0,C-T21100-1 WHT,Non-Merchandise,,Inventory Audit,,Fully Invoiced,sale,0,,,,
,SO 00330,5/8/2023 0:00,C-T21100-1 WHT,Magic San Carlos,0,0,C-T21100-1 WHT,Non-Merchandise,,Inventory Audit,,Fully Invoiced,sale,0,,,,
,SO 00330,5/8/2023 0:00,T21100-1,Magic San Carlos,1,999.75,T21100-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,999.75,,
,SO 00329,5/2/2023 0:00,W19203-19,Magic San Carlos,1,"4,300.00",W19203-19,Quadro - Wall Art,,Inventory Audit,,Fully Invoiced,sale,1,,"4,300.00",W19203-19,
,SO 00329,5/2/2023 0:00,W21481-2,Magic San Carlos,1,399,W21481-2,Quadro - Wall Art,,Inventory Audit,,Fully Invoiced,sale,1,,399,W21481-2,
,SO 00322,5/31/2023 0:00,T1702-1,HD Ortigas,1,350,T1702-1,Quadro - Table Décor,,MPC Prep Staff,,To Invoice,sale,0,,350,T1702-1,harmony n homes candle holder s 11x33cm
,SO 00322,5/31/2023 0:00,T1706-2,HD Ortigas,1,450,T1706-2,Quadro - Table Décor,,MPC Prep Staff,,To Invoice,sale,0,,450,T1706-2,
,SO 00322,5/31/2023 0:00,M21052-16,HD Ortigas,1,"6,999.00",M21052-16,Quadro - Mirror,,MPC Prep Staff,,Fully Invoiced,sale,1,,"6,999.00",M21052-16,
,SO 00322,5/31/2023 0:00,T21152-1,HD Ortigas,2,199.75,T21152-1,Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,2,,399.5,T21152-1,
,SO 00322,5/31/2023 0:00,TS21098-1,HD Ortigas,5,99.75,TS21098-1,Quadro - Table Décor,,MPC Prep Staff,,Fully Invoiced,sale,5,,498.75,,
,SO 00322,5/31/2023 0:00,09112-1-801,HD Ortigas,1,300,09112-1-801,Quadro - Table Décor,,MPC Prep Staff,,To Invoice,sale,0,,300,09112-1-801,
,SO 00322,5/31/2023 0:00,09262-1-801,HD Ortigas,1,350,09262-1-801,Quadro - Table Décor,,MPC Prep Staff,,To Invoice,sale,0,,350,09262-1-801,
,SO 00326,5/31/2023 0:00,M21052-16,HD Commonwealth,2,"6,999.00",M21052-16,Quadro - Mirror,,MPC Prep Staff,,Fully Invoiced,sale,2,,"13,998.00",M21052-16,
,SO 00326,5/31/2023 0:00,M22007-9,HD Commonwealth,1,"2,999.00",M22007-9,Quadro - Mirror,,MPC Prep Staff,,Fully Invoiced,sale,1,,"2,999.00",M22007-9,
,SO 00326,5/31/2023 0:00,T21089-1,HD Commonwealth,2,79.75,T21089-1,Quadro - Table Décor,,MPC Prep Staff,,To Invoice,sale,0,,159.5,T21089-1,
,SO 00326,5/31/2023 0:00,T21154-1,HD Commonwealth,2,399.75,T21154-1,Quadro - Table Décor,,MPC Prep Staff,,To Invoice,sale,0,,799.5,T21154-1,
,SO 00327,5/31/2023 0:00,T21081-1,HD Balintawak,2,"1,499.75",T21081-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"2,999.50",T21081-1,
,SO 00327,5/31/2023 0:00,T21082-1,HD Balintawak,1,"1,499.75",T21082-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,499.75",T21082-1,
,SO 00327,5/31/2023 0:00,SW21148-11,HD Balintawak,1,"5,356.92",SW21148-11,Quadro - Wall Art,,Inventory Audit,,Fully Invoiced,sale,1,,"5,356.92",SW21148-11,
,SO 00327,5/31/2023 0:00,SW21150-11,HD Balintawak,1,"5,356.92",SW21150-11,Quadro - Wall Art,,Inventory Audit,,Fully Invoiced,sale,1,,"5,356.92",SW21150-11,
,SO 00327,5/31/2023 0:00,M21052-16,HD Balintawak,1,"6,999.00",M21052-16,Quadro - Mirror,,Inventory Audit,,Fully Invoiced,sale,1,,"6,999.00",M21052-16,
,SO 00327,5/31/2023 0:00,M22002-5,HD Balintawak,1,999,M22002-5,Quadro - Mirror,,Inventory Audit,,Fully Invoiced,sale,1,,999,M22002-5,
,SO 00327,5/31/2023 0:00,T21095-1,HD Balintawak,1,299.75,T21095-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,299.75,T21095-1,
,SO 00324,5/31/2023 0:00,T21091-1,HD Alabang,1,299.75,T21091-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,299.75,T21091-1,
,SO 00324,5/31/2023 0:00,T21094-1,HD Alabang,1,299.75,T21094-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,299.75,T21094-1,
,SO 00324,5/31/2023 0:00,T21092-1,HD Alabang,1,299.75,T21092-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,299.75,T21092-1,
,SO 00324,5/31/2023 0:00,T21095-1,HD Alabang,1,299.75,T21095-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,299.75,T21095-1,
,SO 00321,5/28/2023 0:00,06021-1-801,Rustan's DS Makati,1,"1,850.00",06021-1-801,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"1,850.00",06021-1-801,
