Product,OH SKU,OH SRP,SMH SKU,SMH PRICE
D21061-12,203039226637,12999.75,203839232688,11999
123046-20,203039226633,22999.75,0,0
123004-18,203039209746,14999.75,203839222615,14999
501908-18,203039226082,5999.75,0,0
123118-7,203039197338,6999.75,203839217974,6999
123117-12,203039226637,12999.75,203839232688,11999
123116-7,203039197338,6999.75,203839222602,6999
123258-10,203039230219,4999,203839258790,7999
123256-10,203039230219,4999,203839258790,7999
123120-12,203039226637,12999.75,203839232688,11999
1322089-8,203010426518,2299,203839245152,2299
1322088-8,203010426518,2299,203839245151,2299
D18141-8,203039197339,7999.75,203839186327,7999.75
D18119-10,203039197337,6999.75,203839245136,6999
123111-12,203039223733,12999.75,203839232688,11999
D1986-12,203039220525,9999.75,203839229018,6000
D1985-12,203039220525,9999.75,203839229018,6000
M1724-12,203039160230,3999.75,0,0
823001-32,203039202876,14999.75,203839222615,14999
W22034-25,203039227040,12999,203839242114,12999
M22008-9,203039227326,5999,203839242081,5999
D18142-8,203039197342,7999.75,203839186327,7999.75
123150-8,203039223842,3999.75,203839232685,3999
123149-10,203039230217,4999,203839233512,4999
123148-8,203039223842,3999.75,203839232685,3999
123030-20,203039201545,14999.75,203839222615,14999
123047-20,203039226632,22999.75,203839222615,14999
5021143-11,203038240670,12950,203839231934,12950
T18120-2,203039186981,2499.88,0,0
T18109-1WH,203039186994,749.88,0,0
TS19100-1,203039200541,909.83,0,0
RT15349-2,203039153025,1000,0,0
D16389-6,203039128272,1000,0,0
T1864-1,203039225198,1299,0,0
T18220-1,203039195823,1399.88,0,0
T18221-1,203039195822,1399.88,0,0
T18176-2WH,203039193618,1499.88,0,0
T1855-2BK,203039179706,1499.88,0,0
T1930-1,203039195816,1609.83,0,0
T1673-2,203039112623,1649.88,0,0
T1669-2,203039112621,1649.88,0,0
M1513-12,203038336395,1999.88,203839231937,1999
W16195-10,203039227126,2000,203839231959,2000
1322076-8,203010426513,2299,0,0
M1524-9,203039106342,2500,203839231942,2500
M1771-13,203039146344,4000,203839231949,4000
W18294-15,203039227135,4999,203839223660,4999
T1808-2G,203039186020,6499.88,0,0
