id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,X21161-1,,K2/Stock/Rack D-06,1.00
,X21161-1,,K2/Stock/Rack E-12,32.00
,X21162-1,,K2/Stock/Rack C-09,30.00
,X21162-1,,K2/Stock/Rack D-06,28.00
,X21162-1,,K2/Stock/Rack D-08,21.00
,X21163-1,,K2/Stock/Rack D-01,40.00
,X21163-1,,K2/Stock/Rack D-04,10.00
,X21164-1,,K2/Stock/Rack A-01,56.00
,X21164-1,,K2/Stock/Rack B-11,2.00
,X21164-1,,K2/Stock/Rack C-02,4.00
,X21164-1,,K2/Stock/Rack E-12,82.00
,X21164-1,,K2/Stock/Rack E-15,60.00
,X21165-1,,K2/Stock/Rack B-11,36.00
,X21165-1,,K2/Stock/Rack E-14,8.00
,X21165-1,,K2/Stock/Rack E-17,18.00
,X21166-1,,K2/Stock/Rack E-12,80.00
,1PL19008-13,Dominga Warehouse,DOM/Stock/G Office Hallway HW,317.00
,1PL19011-9.75,Dominga Warehouse,DOM/Stock/G Office Hallway HW,28.00
,1PL19016-14,Dominga Warehouse,DOM/Stock/G Office Hallway HW,5.00
,UNKNOWN ITEM,Dominga Warehouse,DOM/Stock/G Office Hallway HW,109.00
,1PL19015-14,Dominga Warehouse,DOM/Stock/G Office Hallway HW,20.00
,0204-50,Dominga Warehouse,DOM/Stock/G Office Hallway HW,"1,269.00"
,D1883-8,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,0103-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,15.00
,0208-3,Dominga Warehouse,DOM/Stock/G Office Hallway HW,37.00
,0209-2,Dominga Warehouse,DOM/Stock/G Office Hallway HW,18.00
,0209-2MS,Dominga Warehouse,DOM/Stock/G Office Hallway HW,91.00
,0210-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,43.00
,0301-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,7.00
,0302-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,2.00
,0303-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,4.00
,0304-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,81.00
,0308-1BL,Dominga Warehouse,DOM/Stock/G Office Hallway HW,7.00
,0309-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,12.00
,0319-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,2.00
,0418-1CL,Dominga Warehouse,DOM/Stock/G Office Hallway HW,21.00
,0418-1G,Dominga Warehouse,DOM/Stock/G Office Hallway HW,1.00
,0419-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,4.00
,0426-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,2.00
,0427-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,3.00
