id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,D1950-7G,SMH Mall of Asia,SMHMO/Stock,1
,1322081-8,SMH Mall of Asia,SMHMO/Stock,1
,D1946-20G,OH Batangas,OHBAT/Stock,1
,D21063-7G,OH Batangas,OHBAT/Stock,1
,D1971-10,OH Batangas,OHBAT/Stock,1
,D1981-15,OH Batangas,OHBAT/Stock,1
,123092-4,OH Batangas,OHBAT/Stock,2
,123093-4,OH Batangas,OHBAT/Stock,1
,D21063-7G,OH Dasma,OHDAS/Stock,1
,D1971-10,OH Dasma,OHDAS/Stock,1
,123092-4,OH Dasma,OHDAS/Stock,2
,123094-4,OH Dasma,OHDAS/Stock,1
,1324215-4,OH Dasma,OHDAS/Stock,1
,1324216-4,OH Dasma,OHDAS/Stock,1
,1324222-4,OH Dasma,OHDAS/Stock,1
,M1653-12,OH Dasma,OHDAS/Stock,1
,824045-13,OH Dasma,OHDAS/Stock,1
,824046-20,OH Dasma,OHDAS/Stock,1
,123378-3,OH Lucena,OHLUC/Stock,1
,123379-3,OH Lucena,OHLUC/Stock,1
,123377-3,OH Lucena,OHLUC/Stock,1
,D21014-10G,OH Lucena,OHLUC/Stock,1
,D21023-10G,OH Lucena,OHLUC/Stock,1
,123445-4,OH Lucena,OHLUC/Stock,1
,124154-10,SMH Lipa,SMHLI/Stock,1
,825007-19,SMH Lipa,SMHLI/Stock,1
,W21359-8,SMH Lipa,SMHLI/Stock,1
,1323093-13,SMH Lipa,SMHLI/Stock,2
,1323094-13,SMH Lipa,SMHLI/Stock,1
,D1950-7G,SMH Lipa,SMHLI/Stock,1
,D21010-5N,SMH Lipa,SMHLI/Stock,1
,D21060-7N,SMH Lipa,SMHLI/Stock,1
,123411-12,SMH Lipa,SMHLI/Stock,1
,D21032-8,SMH Lipa,SMHLI/Stock,1
,D21033-8,SMH Lipa,SMHLI/Stock,1
,D20127-10,SMH North Edsa,SMHNE/Stock,1
,123456-6,SMH Ortigas,SMHOR/Stock,1
,D1941-19G,OH Urdaneta,OHURD/Stock,1
,D1946-20G,OH Urdaneta,OHURD/Stock,1
,D21014-10G,OH Urdaneta,OHURD/Stock,1
,D21023-10G,OH Urdaneta,OHURD/Stock,1
,D21063-7G,OH Urdaneta,OHURD/Stock,1
