id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,1156209-5,Dominga Warehouse,DOM/Stock/B4,0.00
,1583927-4,Dominga Warehouse,DOM/Stock/B4,1.00
,C1843-6,Dominga Warehouse,DOM/Stock/B4,4.00
,RD15252-8,Dominga Warehouse,DOM/Stock/A5,1.00
,1782126-4,Dominga Warehouse,DOM/Stock/A5,1.00
,W1835-5,Dominga Warehouse,DOM/Stock/A5,1.00
,171577-7,Dominga Warehouse,DOM/Stock/A5,1.00
,RW15372-7,Dominga Warehouse,DOM/Stock/A5,1.00
,823014-10,Dominga Warehouse,DOM/Stock/B6,1.00
,09183-1-102,,K2/Stock/2nd Floor B,-1.00
,T16216-1,Dominga Warehouse,DOM/Stock/E5,1.00
,T16248-1,Dominga Warehouse,DOM/Stock/E5,2.00
,09141-1-482,,K2/Stock/2nd Floor B,-1.00
,09141-1-482,Dominga Warehouse,DOM/Stock/E5,1.00
,C1838-5,Dominga Warehouse,DOM/Stock/B4,1.00
,1223028-1,Dominga Warehouse,DOM/Stock/C4,136.00
,1223030-1,Dominga Warehouse,DOM/Stock/C4,6.00
,1223031-1,Dominga Warehouse,DOM/Stock/C4,19.00
,1223034-1,Dominga Warehouse,DOM/Stock/C4,36.00
,D20001-10,Dominga Warehouse,DOM/Stock/E5,1.00
,1024026-2,Dominga Warehouse,DOM/Stock/E5,2.00
,1024027-2,Dominga Warehouse,DOM/Stock/E5,1.00
,1024028-2,Dominga Warehouse,DOM/Stock/E5,1.00
,1024029-2,Dominga Warehouse,DOM/Stock/E5,1.00
,924027-2,Dominga Warehouse,DOM/Stock/E5,2.00
,924028-2,Dominga Warehouse,DOM/Stock/E5,1.00
,1224042-1,Dominga Warehouse,DOM/Stock/E5,1.00
,T21129-1,Dominga Warehouse,DOM/Stock/C4,23.00
,924029-2,Dominga Warehouse,DOM/Stock/E5,1.00
,924030-2,Dominga Warehouse,DOM/Stock/E5,1.00
,924031-2,Dominga Warehouse,DOM/Stock/E5,1.00
,1024030-2,Dominga Warehouse,DOM/Stock/E5,1.00
,1024031-2,Dominga Warehouse,DOM/Stock/E5,1.00
,924032-2,Dominga Warehouse,DOM/Stock/E5,1.00
,924033-2,Dominga Warehouse,DOM/Stock/E5,1.00
,924034-2,Dominga Warehouse,DOM/Stock/E5,1.00
,047888-4,Dominga Warehouse,DOM/Stock/B4,2.00
,047885-4,Dominga Warehouse,DOM/Stock/B4,1.00
,1324593-5,Dominga Warehouse,DOM/Stock/B4,1.00
,0372706-6,Dominga Warehouse,DOM/Stock/B4,1.00
,032350-4,Dominga Warehouse,DOM/Stock/B4,1.00
,501131-6,Dominga Warehouse,DOM/Stock/B4,1.00
,1582258-4,Dominga Warehouse,DOM/Stock/B4,1.00
,0371148-4,Dominga Warehouse,DOM/Stock/B4,1.00
,0371919-9,Dominga Warehouse,DOM/Stock/B4,0.00
,M1721-12,Dominga Warehouse,DOM/Stock/G DONE REPAIR,-1.00
,M1719-12,Dominga Warehouse,DOM/Stock/G DONE REPAIR,-1.00
,M1778-8,Dominga Warehouse,DOM/Stock,-1.00
,M1778-8,Dominga Warehouse,GIP/Stock/A2,1.00
,D21016-10,Dominga Warehouse,GIP/Stock/A2,2.00
,D20047-10,Dominga Warehouse,GIP/Stock/A2,1.00
,M1513-21,Dominga Warehouse,DOM/Stock/G DONE REPAIR,-1.00
,OS21006-1,Dominga Warehouse,DOM/Stock/C1,3.00
,123392-5,Dominga Warehouse,DOM/Stock/B4,-1.00
,123098-3,Dominga Warehouse,DOM/Stock/B4,2.00
,501212-5,Dominga Warehouse,GIP/Stock/C2,1.00
,1685060-7,Dominga Warehouse,GIP/Stock/C2,1.00
,1206251-3G,Dominga Warehouse,GIP/Stock/C2,1.00
,1206060-6,Dominga Warehouse,GIP/Stock/C2,1.00
,1206067-3BL,Dominga Warehouse,GIP/Stock/C2,1.00
,8796654-6B,Dominga Warehouse,GIP/Stock/C2,1.00
,1796643-6,Dominga Warehouse,GIP/Stock/C2,1.00
,1796645-6,Dominga Warehouse,GIP/Stock/C2,1.00
,162672-4,Dominga Warehouse,GIP/Stock/C2,3.00
,1792110-6,Dominga Warehouse,GIP/Stock/C2,1.00
,1792101-6,Dominga Warehouse,GIP/Stock/C2,1.00
,1792105-6RD,Dominga Warehouse,GIP/Stock/C2,1.00
,1792100-6RD,Dominga Warehouse,GIP/Stock/C2,1.00
,1791977-8,Dominga Warehouse,DOM/Stock,1.00
,1324975-5C,Dominga Warehouse,GIP/Stock/C2,1.00
,1324975-5D,Dominga Warehouse,GIP/Stock/C2,1.00
,0381885-4,Dominga Warehouse,GIP/Stock/C2,1.00
,1684854-7,Dominga Warehouse,GIP/Stock/C2,1.00
,1792090-6RD,Dominga Warehouse,GIP/Stock/C2,1.00
,W17289-6,Dominga Warehouse,GIP/Stock/C2,1.00
,121467-3,Dominga Warehouse,GIP/Stock/C2,1.00
,1112857-5,Dominga Warehouse,GIP/Stock/C2,1.00
,1123138-1,Dominga Warehouse,DOM/Stock/B4,4.00
,1123139-1,Dominga Warehouse,DOM/Stock/B4,3.00
,1123140-2,Dominga Warehouse,DOM/Stock/B4,5.00
,1123141-1,Dominga Warehouse,DOM/Stock/B4,3.00
,1123142-1,Dominga Warehouse,DOM/Stock/B4,4.00
,1123143-1,Dominga Warehouse,DOM/Stock/B4,5.00
,1123144-1,Dominga Warehouse,DOM/Stock/B4,4.00
,1123146-3,Dominga Warehouse,DOM/Stock/B4,1.00
,1123147-2,Dominga Warehouse,DOM/Stock/B4,1.00
,C1802-5,Dominga Warehouse,DOM/Stock/B4,1.00
,C1807-3,Dominga Warehouse,DOM/Stock/B4,1.00
,C1810-3,Dominga Warehouse,DOM/Stock/B4,1.00
,C1820-6BK,Dominga Warehouse,DOM/Stock/B4,3.00
,1205597-5,Dominga Warehouse,DOM/Stock/B4,1.00
,0371178-7,Dominga Warehouse,DOM/Stock/B4,0.00
,0553991-6,Dominga Warehouse,DOM/Stock/B4,1.00
,1583930-4,Dominga Warehouse,DOM/Stock/B4,1.00
,1583308-3,Dominga Warehouse,GIP/Stock/C2,1.00
,501129-6,Dominga Warehouse,GIP/Stock/C2,1.00
,5021009-6,Dominga Warehouse,GIP/Stock/C2,6.00
,1012725-2,Dominga Warehouse,GIP/Stock/C2,1.00
,706032-1,Dominga Warehouse,GIP/Stock/C2,1.00
,8453927-11,Dominga Warehouse,GIP/Stock/C2,1.00
,123370-6,Dominga Warehouse,DOM/Stock/E4,1.00
,123373-3,Dominga Warehouse,DOM/Stock/E4,1.00
,123374-3,Dominga Warehouse,DOM/Stock/E4,1.00
,123375-3,Dominga Warehouse,DOM/Stock/E4,1.00
,823016-10,Dominga Warehouse,DOM/Stock/E4,1.00
,123379-3,Dominga Warehouse,DOM/Stock/E4,1.00
,W18353-9,Dominga Warehouse,DOM/Stock/A5,1.00
,M1511-12,Dominga Warehouse,DOM/Stock/A5,1.00
,T16202-1,Dominga Warehouse,DOM/Stock/C5,0.00
,T1913-1,Dominga Warehouse,DOM/Stock,1.00
,RW16318-6,Dominga Warehouse,DOM/Stock/A5,1.00
,W18194-8,Dominga Warehouse,DOM/Stock/A5,1.00
,C1820-6BK,Dominga Warehouse,DOM/Stock/A5,1.00
,1621389-5,Dominga Warehouse,DOM/Stock/A5,2.00
,W16220-6,Dominga Warehouse,DOM/Stock/A5,1.00
,DS21064-25(1-3),Dominga Warehouse,DOM/Stock,-1.00
,D21062-7N,Dominga Warehouse,DOM/Stock,-1.00
,W1773-6,Dominga Warehouse,DOM/Stock,-1.00
,0552993-6,Dominga Warehouse,DOM/Stock,-3.00
,0552995-6,Dominga Warehouse,DOM/Stock,-2.00
,RD15291-6,Dominga Warehouse,DOM/Stock,-1.00
,DS21064-25(1-3),Dominga Warehouse,DOM/Stock/B4,1.00
,W22062-12,Dominga Warehouse,DOM/Stock/B4,1.00
,W17246-8,Dominga Warehouse,DOM/Stock/B4,1.00
,0552993-6,Dominga Warehouse,DOM/Stock/B4,3.00
,0552995-6,Dominga Warehouse,DOM/Stock/B4,2.00
,RD15291-6,Dominga Warehouse,DOM/Stock/B4,1.00
,0428-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,20.00
